dictionary_name,dictionary_description,term,definition,context
Quick Reference,Common abbreviations and quick lookups,API,Application Programming Interface,
Quick Reference,Common abbreviations and quick lookups,URL,Uniform Resource Locator,web
Quick Reference,Common abbreviations and quick lookups,HTTP,Hypertext Transfer Protocol,web
Quick Reference,Common abbreviations and quick lookups,JSON,JavaScript Object Notation,data format
Quick Reference,Common abbreviations and quick lookups,XML,Extensible Markup Language,data format
Quick Reference,Common abbreviations and quick lookups,CSS,Cascading Style Sheets,web
Quick Reference,Common abbreviations and quick lookups,HTML,Hypertext Markup Language,web
Quick Reference,Common abbreviations and quick lookups,SQL,Structured Query Language,database
Quick Reference,Common abbreviations and quick lookups,CLI,Command Line Interface,tools
Quick Reference,Common abbreviations and quick lookups,GUI,Graphical User Interface,tools
Quick Reference,Common abbreviations and quick lookups,IDE,Integrated Development Environment,tools
Quick Reference,Common abbreviations and quick lookups,SDK,Software Development Kit,development
Quick Reference,Common abbreviations and quick lookups,API,Annual Percentage Interest,finance
Quick Reference,Common abbreviations and quick lookups,CPU,Central Processing Unit,hardware
Quick Reference,Common abbreviations and quick lookups,RAM,Random Access Memory,hardware
Quick Reference,Common abbreviations and quick lookups,SSD,Solid State Drive,hardware
Quick Reference,Common abbreviations and quick lookups,OS,Operating System,software
Quick Reference,Common abbreviations and quick lookups,VM,Virtual Machine,infrastructure
Quick Reference,Common abbreviations and quick lookups,VPN,Virtual Private Network,networking
Quick Reference,Common abbreviations and quick lookups,DNS,Domain Name System,networking
